prefix,co_num,major,semester,mingrade
engl,101,cs,a,c
math,141,cs,a,c
csce,145,cs,a,c
csce,190,cs,a,c
engl,102,cs,b,c
math,142,cs,b,c
Chem,111,cs,b,c
chem,111L,cs,b,c
phys,211,cs,b,c
phys,211L,cs,b,c
csce,146,cs,b,c
csce,215,cs,b,c
csce,211,cs,c,c
csce,240,cs,c,c
math,374,cs,c,c
chem,112,cs,c,
chem,112L,cs,c,
phys,212,cs,c,
phys,212L,cs,c,
spch,140,cs,c,
csce,212,cs,d,c
math,241,cs,d,
csce,311,cs,e,c
csce,330,cs,e,c
csce,350,cs,e,c
csce,390,cs,e,c
engl,462,cs,e,
engl,463,cs,e,
csce,416,cs,f,c
stat,509,cs,f,
csce,490,cs,g,c
csce,355,cs,g,c
math,344,cs,g,
math,344L,cs,g,
csce,492,cs,h,c
engl,101,ce,a,c
math,141,ce,a,c
csce,145,ce,a,c
csce,190,ce,a,c
engl,102,ce,b,c
math,142,ce,b,c
Chem,111,ce,a,c
chem,111L,ce,a,c
phys,211,ce,c,c
phys,211L,ce,c,c
csce,146,ce,b,c
csce,215,ce,b,c
csce,211,ce,c,c
csce,240,ce,d,c
math,374,ce,e,c
phys,212,ce,d,
phys,212L,ce,d,
spch,140,ce,e,
csce,212,ce,d,c
math,241,ce,c,
csce,311,ce,e,c
csce,350,ce,f,c
csce,390,ce,f,c
engl,462,ce,f,
engl,463,ce,f,
csce,416,ce,g,c
stat,509,ce,e,
csce,490,ce,g,c
math,344,ce,h,
math,344L,ce,h,
csce,492,ce,h,c
csce,274,ce,c,c
elct,102,ce,b,c
math,242,ce,d,c
elct,221,ce,d,c
elct,222,ce,e,c
csce,313,ce,f,c
csce,317,ce,f,c
elct,371,ce,f,
csce,611,ce,g,c
ccrq,1,cs,a,
ccrq,2,cs,d,
ccrq,3,cs,d,
lsel,1,cs,d,
aael,1,cs,e,
aael,2,cs,f,
aael,3,cs,g,
lael,1,cs,f,
lael,2,cs,f,
lael,3,cs,h,
csel,1,cs,g,
csel,2,cs,h,
csel,3,cs,h,
ccrq,1,ce,b,
ccrq,2,ce,g,
ccrq,3,ce,h,
csel,1,ce,g,
csel,2,ce,h,
csel,3,ce,h,
